#{"t_start": 1776869739.7235544, "env_id": "None"}
r,l,t
305.906167,182,1082.360999
304.143414,176,1084.067731
310.16196,178,1085.792369
307.698387,187,1087.605835
313.751272,161,1089.178032
309.223696,178,1090.899555
314.630776,179,1092.626507
307.376786,190,1094.455203
305.118258,154,1095.953019
312.468858,161,1097.517246
311.624946,181,1099.26506
310.07647,154,1100.918693
305.410112,182,1102.661627
312.247381,179,1107.407624
310.427682,190,1109.234247
304.634715,176,1110.929113
315.437607,161,1112.487691
309.218739,154,1113.983007
308.634919,178,1115.693989
310.082426,179,1117.423774
307.823034,157,1118.943609
301.505442,190,1120.763349
314.110906,161,1122.318119
313.691736,190,1124.150881
310.938937,187,1125.943027
305.260953,157,1127.482843
309.893152,190,1129.303138
302.220187,182,1131.04998
307.448505,179,1132.769567
309.817787,185,1134.550292
301.091053,168,1136.166617
303.703047,190,1137.984516
310.612318,190,1139.793337
306.989775,179,1141.496212
307.454146,181,1143.210912
310.952749,181,1144.935023
309.032568,190,1146.894033
312.551577,178,1148.749365
286.431439,190,1150.550713
308.065155,190,1152.511405
310.942406,154,1154.145229
305.658282,182,1156.032235
309.027382,187,1157.96129
305.935497,182,1159.702199
306.172678,185,1161.46784
282.510288,190,1163.282088
284.298366,190,1165.090027
308.896379,157,1166.610419
304.812928,190,1168.417314
300.149792,190,1170.211889
310.278716,190,1172.023084
309.162844,187,1173.792433
307.193259,190,1175.594059
310.526543,154,1177.066433
316.435205,174,1178.717796
308.708953,187,1180.491085
307.095393,190,1182.289204
311.847059,161,1183.834764
307.283791,166,1185.425193
311.062336,166,1187.014563
312.519769,166,1188.597688
299.608577,190,1190.39942
310.455715,185,1192.17088
307.034755,154,1193.648993
300.790263,190,1195.443584
311.277554,190,1197.240794
311.023511,190,1199.040466
313.226432,190,1200.841646
311.337966,178,1202.530406
310.060344,168,1207.094002
316.212909,161,1208.640384
314.611135,190,1210.441267
318.675726,161,1211.97995
296.755953,190,1213.784888
311.799106,190,1215.589275
312.40903,190,1217.395886
306.179175,161,1218.936831
286.90309,190,1220.738561
310.371853,185,1222.491326
304.822241,168,1224.097352
308.214165,176,1225.765923
312.577087,181,1227.479352
304.937939,190,1229.274293
309.206835,166,1231.029021
310.618207,179,1232.896239
314.837966,179,1234.755234
305.696284,190,1236.718606
314.776131,190,1238.529136
309.758174,176,1240.358793
307.367333,190,1242.324632
315.433217,161,1243.879331
305.542907,182,1245.621802
307.912243,182,1247.360581
311.918941,179,1249.217677
314.157292,161,1250.912864
308.785211,179,1252.784292
310.382097,187,1254.714581
311.471431,178,1256.565764
313.83027,174,1258.382611
313.538789,190,1260.351413
309.034512,176,1262.179806
315.668207,161,1263.8773
313.048037,179,1265.743331
309.02404,187,1267.677245
308.684536,190,1269.634164
307.828571,187,1271.576157
314.650578,161,1273.26949
304.356829,190,1275.22757
309.395322,179,1277.087954
310.895063,161,1278.784574
310.043986,168,1280.548514
309.681336,185,1282.46927
316.587743,161,1284.181511
308.663051,182,1286.073668
309.22172,176,1287.905813
304.933088,190,1289.707161
307.056549,179,1291.403702
311.563278,190,1293.197859
315.243195,174,1294.847365
308.142944,187,1296.616906
310.689753,190,1298.5791
305.96951,190,1300.540364
307.161789,179,1302.400766
309.441419,187,1304.335944
310.452986,179,1306.193737
315.038722,190,1310.930057
310.261918,181,1312.807662
304.11491,176,1314.641544
310.025987,179,1316.512596
310.978386,179,1318.371665
305.165186,190,1320.327765
306.269146,187,1322.264285
311.753097,179,1324.124136
305.967778,190,1326.082416
311.61745,157,1327.740421
309.634907,166,1329.485202
302.21707,190,1331.296156
307.233077,176,1333.141508
302.560372,190,1335.098397
305.850607,154,1336.742074
308.531413,166,1338.319893
313.222705,161,1339.849555
306.634258,154,1341.317944
309.518451,168,1342.917901
311.156446,157,1344.41452
306.087655,187,1346.182119
310.349344,154,1347.651784
309.646657,157,1349.149048
300.570116,182,1350.874021
311.596831,181,1352.595035
303.91068,182,1354.313369
308.35271,190,1356.107094
290.538279,190,1357.899177
307.666291,176,1359.573915
310.000476,166,1361.154643
285.513876,190,1362.955242
316.55348,161,1364.499593
302.269653,190,1366.300718
303.162116,176,1367.975123
307.590535,168,1369.573779
310.875337,185,1371.318981
308.96156,190,1373.113467
313.649613,190,1374.934681
307.25542,190,1376.893945
305.909231,190,1378.845121
286.622777,190,1380.644196
309.756491,178,1382.326692
312.235966,168,1383.922771
307.386029,190,1385.715596
306.948885,157,1387.209612
317.321253,174,1388.856408
312.492243,190,1390.660117
295.085678,190,1392.458327
307.681994,190,1394.255068
315.465042,190,1396.053457
311.247077,154,1397.542197
309.938936,185,1399.296764
315.365557,179,1400.993382
314.159247,161,1402.528311
310.901976,168,1404.12631
307.040192,176,1405.798118
311.239002,181,1410.473521
308.818867,154,1411.947968
309.141618,178,1413.636998
310.027377,185,1415.388379
313.760992,190,1417.186175
312.450587,185,1418.954465
307.108968,190,1420.753689
310.756126,178,1422.444153
311.833967,179,1424.150713
308.393853,190,1425.945987
309.383574,190,1427.743092
306.053037,176,1429.416159
310.117222,179,1431.115483
311.205776,179,1432.815432
312.811811,178,1434.502036
308.422957,187,1436.269466
303.613458,182,1437.994495
310.879205,179,1439.689884
308.069896,190,1441.498227
315.577376,161,1443.193171
311.697248,179,1445.056553
305.229241,190,1447.014953
310.871629,181,1448.894305
312.651827,185,1450.809031
311.861983,166,1452.548893
310.73337,190,1454.340224
313.473989,181,1456.051877
314.558259,190,1457.848019
305.24727,187,1459.615447
311.452532,190,1461.409034
305.280382,185,1463.177762
312.972431,181,1464.890902
315.876961,161,1466.424157
306.219692,178,1468.110106
310.236479,157,1469.611373
289.689423,190,1471.405553
307.066276,166,1472.983376
313.923269,166,1474.559482
315.439851,174,1476.210116
312.652871,178,1477.894611
311.901764,190,1479.687793
303.164258,190,1481.480769
303.598828,182,1483.209728
314.49,178,1484.918092
316.772148,190,1486.727665
305.028131,154,1488.201406
309.760631,190,1489.996167
310.365724,185,1491.743068
307.789459,157,1493.246031
310.327265,154,1494.714769
303.538856,176,1496.390864
312.301643,185,1498.140014
311.055178,181,1499.852347
306.384333,190,1501.64835
310.550517,190,1503.453804
307.837713,190,1505.260885
308.17388,154,1509.558955
314.733003,161,1511.102562
312.854325,178,1512.794394
311.024004,179,1514.496448
311.306592,187,1516.270992
292.307376,190,1518.071896
293.976856,190,1519.918425
312.506931,190,1521.752523
312.749415,179,1523.483291
314.40864,190,1525.316332
310.429639,181,1527.069484
307.601557,179,1528.792828
309.665668,166,1530.415409
310.941153,190,1532.246518
309.88919,166,1533.85455
314.205588,178,1535.570585
309.794918,154,1537.06908
309.109842,178,1538.793789
312.522475,178,1540.530656
312.043948,190,1542.377072
307.012383,176,1544.093607
305.224707,176,1545.805764
312.629012,185,1547.599839
308.997662,190,1549.445784
311.276773,190,1551.273022
308.627594,181,1553.042358
306.323459,190,1554.889373
306.990337,190,1556.720345
312.687447,190,1558.558559
306.476382,182,1560.321052
308.222885,185,1562.112307
310.307515,187,1563.911723
311.736083,190,1565.745885
313.330732,174,1567.428359
308.60811,190,1569.260438
306.9035,190,1571.093367
316.367309,179,1572.826605
312.101078,190,1574.664997
310.563358,166,1576.299702
312.285419,157,1577.835129
308.337632,190,1579.686184
310.84511,187,1581.503621
307.185151,190,1583.34664
309.165702,178,1585.079771
310.042533,190,1586.921957
304.845133,190,1588.75496
312.326104,178,1590.486107
302.686227,182,1592.254628
314.556369,161,1593.823054
309.504722,166,1595.43541
308.734892,168,1597.0883
303.077689,190,1598.933573
309.453053,176,1600.648977
309.070668,154,1602.153093
313.897543,181,1603.905339
310.651084,190,1608.767802
