Año;Fecha;Riego_Optimo_FAO_mm
2007;19/08/2007;4,49783893598752
2007;20/08/2007;0,0
2007;21/08/2007;2,8707329904682575
2007;22/08/2007;0,4741321891444161
2007;23/08/2007;1,298420347669739
2007;24/08/2007;2,1046708638958482
2007;25/08/2007;0,0
2008;24/04/2008;25,0
2008;25/04/2008;25,0
2008;26/04/2008;25,0
2008;27/04/2008;25,0
2008;28/04/2008;17,494999999999997
2008;29/04/2008;1,850999999999995
2008;30/04/2008;0,8609999999999982
2008;01/05/2008;5,360000000000004
2008;02/05/2008;4,738693712750476
2008;03/05/2008;4,155364153855649
2008;04/05/2008;1,0248527889397003
2008;05/05/2008;4,753336754142043
2008;06/05/2008;0,0
2008;07/05/2008;0,0
2008;08/05/2008;0,0
2008;09/05/2008;0,0
2008;10/05/2008;0,0
2008;11/05/2008;0,0
2008;12/05/2008;5,69240935154671
2008;13/05/2008;7,777606324431333
2008;14/05/2008;4,9074277270283995
2008;15/05/2008;5,596638656041876
2008;16/05/2008;1,9164792926325736
2008;17/05/2008;5,275014252919631
2008;18/05/2008;0,0
2008;19/05/2008;0,0
2008;20/05/2008;1,8795765592923526
2008;21/05/2008;1,3467471130545632
2008;22/05/2008;0,0
2008;23/05/2008;0,0
2008;24/05/2008;0,0
2008;25/05/2008;0,0
2008;26/05/2008;0,2322602945319614
2008;27/05/2008;2,4080871117910965
2008;28/05/2008;0,0
2008;29/05/2008;0,0
2008;30/05/2008;0,0
2008;31/05/2008;0,0
2008;01/06/2008;0,0
2008;02/06/2008;0,0
2008;03/06/2008;3,546309657256112
2008;04/06/2008;0,0
2008;05/06/2008;0,0
2008;06/06/2008;0,0
2008;07/06/2008;4,0263721428732895
2008;08/06/2008;0,0
2008;09/06/2008;0,0
2008;10/06/2008;1,6657464646854636
2008;11/06/2008;3,6055464681680207
2008;12/06/2008;2,490172667543544
2008;13/06/2008;5,182245119524968
2008;14/06/2008;3,235922392586537
2008;15/06/2008;0,12816303985358424
2008;16/06/2008;2,0834124109572216
2008;17/06/2008;0,0
2008;18/06/2008;2,232162230014418
2008;19/06/2008;8,165927687189937
2008;20/06/2008;6,462684998427037
2008;21/06/2008;6,9418383384175755
2008;22/06/2008;7,717093970298618
2008;23/06/2008;7,262661780993144
2008;24/06/2008;5,238086940553987
2008;25/06/2008;5,888589783396331
