Fecha;Riego_Decidido_mm;Lluvia_mm;Evaporacion_Suelo_mm;Transpiracion_Planta_mm;Estrés_Hídrico_pct
04/05/2006;0,0;7,8;2,132297007641176;0,0053328475031853345;0,0
05/05/2006;0,0;0,0;4,252375539871378;0,028269123643494206;0,0
06/05/2006;6,600644663514865;0,0;4,722060572416118;0,028669508409381015;0,0
07/05/2006;5,5707300808255065;0,0;3,353364590140408;0,0035379156572540047;0,0
08/05/2006;1,7769025057976737;0,0;4,100264392959803;0,0;0,0
09/05/2006;6,243990492194565;0,0;4,358454661863025;0,022554925462063433;0,0
10/05/2006;4,451009587325082;0,0;4,7904035252765595;0,07836768902235686;0,0
11/05/2006;5,371999320935472;0,0;4,903182752808868;0,17203648349782452;0,0
12/05/2006;5,095219236306691;0,2;4,79660613554668;0,145077135019986;0,0
13/05/2006;4,781683270566677;0,0;4,5710944560436255;0,1587142992574556;0,0
14/05/2006;4,589808755301065;0,0;4,909005220976555;0,3113617210887211;-2,220446049250313e-14
15/05/2006;5,819552577268321;0,0;5,133961213498898;0,3702761620695867;-2,220446049250313e-14
16/05/2006;5,794237375568477;0,0;5,680037840692633;0,6310516767056795;-2,220446049250313e-14
17/05/2006;7,11108951739831;0,0;5,2164106463674935;0,7106069829949881;0,0
18/05/2006;4,8670176293625005;0,6;5,358838788229854;0,5194630904110497;0,0
19/05/2006;6,1483018786409;0,0;4,811606428156884;0,40376931524933685;0,0
20/05/2006;4,4153757434062095;0,0;3,2598319910964877;0,2719604701488423;0,0
21/05/2006;2,131792461245321;0,0;4,522035383754749;0,5955411941327138;0,0
22/05/2006;8,009561847207337;0,0;3,4662141800318196;0,01760412253152156;0,0
23/05/2006;1,183818302563329;0,0;3,1346119452632015;0,00043033966800259265;-2,220446049250313e-14
24/05/2006;4,665086858337899;0,0;3,205726058455125;0,0914799432849762;0,0
25/05/2006;3,3372060017401073;0,0;3,321675531057605;1,621997726417821;0,0
26/05/2006;6,633673257475424;0,0;3,4578603503910688;2,7122861247977506;0,0
27/05/2006;7,410146475188814;0,0;3,2119920787074174;3,5845901988936335;0,0
28/05/2006;7,426582277601046;0,0;2,440909399237139;3,757554281672675;-2,220446049250313e-14
29/05/2006;5,478463680909821;0,0;2,2925511870030197;4,59658627743486;0,0
30/05/2006;8,069137464437887;0,0;1,5328659933252662;1,5000794285070784;0,0
31/05/2006;0,0;0,0;1,1407197179647657;0,14017517692307857;0,0
01/06/2006;1,0008948948878424;0,0;1,0777921951112022;0,30798974760371556;-2,220446049250313e-14
02/06/2006;1,8657819427149063;0,0;0,9050982847073028;2,2202299280058333;0,0
03/06/2006;4,945328212713129;0,0;0,7942684985890864;2,980438160335817;0,0
04/06/2006;4,444706658924905;0,0;0,6580119564500297;2,94810602263217;0,0
05/06/2006;3,4061179790822163;0,0;0,6218345828895446;4,9888751709447;0,0
06/06/2006;7,750709753834245;0,0;0,5038453734485746;5,226437725652307;-2,220446049250313e-14
07/06/2006;5,870283099100881;0,0;0,42168234914285263;5,542329796469813;0,0
08/06/2006;6,19401214561267;0,0;0,40162225333642443;6,083265189953899;-2,220446049250313e-14
09/06/2006;7,004887443290318;0,0;0,3668269157710235;6,437411007525196;-2,220446049250313e-14
10/06/2006;7,124237923296211;0,0;0,24679582431617458;4,293122617888395;0,0
11/06/2006;1,8199184422045707;0,0;0,22723077570180014;5,435310538050356;0,0
12/06/2006;6,642541313752146;2,0;0,1899614374856383;5,3651303707519995;0,0
13/06/2006;3,995091808237644;1,6;0,10215943626474239;2,992774351778788;0,0
14/06/2006;0,0;1,0;0,14064294467770033;5,082276810272564;0,0
15/06/2006;8,762919754950257;0,0;0,10105419259581952;3,7365606450169904;0,0
