Fecha;ETo(P.MON.);Precipit. efectiva(P.MON.);Horas insolacion;Veloc. viento diurna (*);Veloc. viento nocturna (*);Recorrido viento;Radiacion neta;Temp. media diurna;Hum. media diurna
dd/mm/aaaa;mm;mm;HH:mm;m/s;m/s;km/dia;MJ/m^2;ºC;%
01/08/2013;6.01;0.00;12.78;2.92;0.79;160.27;15.03;26.44;37.90;
02/08/2013;5.46;0.00;12.79;4.38;1.00;232.5;15.18;21.28;44.04;
03/08/2013;4.86;0.00;12.77;1.21;1.41;113.18;14.95;20.34;43.31;
04/08/2013;5.05;0.00;12.69;1.08;1.26;101.35;14.71;22.17;47.38;
05/08/2013;4.44;0.00;12.38;1.48;1.65;135.3;11.70;22.31;45.74;
06/08/2013;3.34;0.00;10.65;1.67;1.39;132.28;9.03;18.47;63.50;
07/08/2013;4.00;0.00;12.29;4.54;2.90;321.32;12.60;16.81;64.67;
08/08/2013;4.86;0.00;12.61;1.68;1.60;141.61;14.75;20.96;48.10;
09/08/2013;4.77;0.00;12.55;1.40;0.56;84.67;14.56;22.98;48.25;
10/08/2013;4.92;0.00;12.49;1.19;0.62;77.93;14.27;24.19;50.99;
11/08/2013;5.40;0.00;11.97;1.28;1.24;108.69;13.53;27.23;34.51;
12/08/2013;5.36;6.60;10.33;2.18;1.85;173.92;12.70;25.63;48.02;
13/08/2013;4.83;0.00;12.24;1.60;1.17;119.32;14.43;23.87;54.05;
14/08/2013;4.84;0.00;12.10;1.25;1.01;97.63;13.89;24.51;51.96;
15/08/2013;4.97;0.00;0.00;1.25;0.88;87.;13.87;24.51;51.96;
16/08/2013;4.46;0.00;12.40;1.64;1.05;116.29;12.04;24.32;49.27;
17/08/2013;4.49;0.00;12.11;1.09;0.71;77.85;13.59;23.06;47.19;
18/08/2013;5.12;0.00;12.38;1.41;0.71;123.21;13.66;25.72;44.92;
19/08/2013;5.04;0.73;12.09;1.28;1.62;125.19;13.35;24.30;49.76;
20/08/2013;4.45;0.00;12.09;1.13;0.52;71.45;13.45;23.50;49.69;
21/08/2013;4.90;0.00;11.94;1.13;1.08;95.73;12.86;26.47;36.59;
22/08/2013;5.45;0.00;11.92;1.62;1.76;146.1;12.60;26.24;36.30;
23/08/2013;5.23;0.00;11.85;1.45;2.21;158.2;12.45;25.04;42.89;
24/08/2013;4.91;1.74;11.98;2.36;1.87;182.91;12.86;21.30;43.22;
25/08/2013;4.28;0.00;11.86;1.81;1.37;137.12;12.46;19.47;53.88;
26/08/2013;4.32;0.00;11.94;1.86;1.35;138.84;12.56;19.91;46.63;
27/08/2013;4.13;0.00;11.24;1.75;1.22;128.22;12.23;19.80;49.35;
28/08/2013;4.08;0.00;10.63;2.10;0.97;132.28;11.82;19.61;47.14;
29/08/2013;4.17;0.00;11.62;2.44;1.05;150.68;11.98;19.35;45.13;
30/08/2013;4.10;0.00;11.69;1.58;1.13;116.9;11.66;20.21;42.36;
31/08/2013;3.83;0.00;11.64;1.12;0.55;72.4;11.46;20.38;49.38;
01/09/2013;4.07;0.00;11.63;1.48;0.81;98.67;11.76;21.50;47.29;
02/09/2013;3.98;0.00;11.65;1.10;0.69;77.24;11.51;22.30;42.65;
03/09/2013;4.65;0.00;11.42;1.65;1.50;136.08;11.06;24.04;38.19;
04/09/2013;4.43;0.00;11.18;1.18;1.35;109.21;10.53;24.94;36.64;
05/09/2013;2.49;0.89;7.15;2.18;1.41;155.;6.63;17.82;69.81;
06/09/2013;3.08;0.00;9.87;1.55;1.05;112.32;9.50;18.19;67.73;
07/09/2013;2.86;0.00;9.45;1.47;1.30;119.84;8.91;17.69;64.77;
08/09/2013;3.33;0.00;11.10;1.30;0.85;92.79;10.57;17.57;53.98;
09/09/2013;3.45;0.00;10.78;1.14;1.11;97.55;10.38;19.65;49.55;
10/09/2013;3.48;0.00;10.44;1.52;1.25;120.01;10.61;20.02;59.58;
11/09/2013;3.38;0.00;11.12;1.74;0.85;112.06;10.49;17.25;50.25;
12/09/2013;3.34;0.00;0.00;1.13;0.83;84.76;9.90;18.21;50.65;
13/09/2013;3.23;0.00;10.85;1.03;0.63;71.63;10.22;19.55;55.79;
14/09/2013;3.94;0.00;10.96;2.14;1.09;139.36;9.51;21.43;49.69;
15/09/2013;2.90;0.00;11.08;1.11;0.55;71.71;9.56;18.07;60.63;
16/09/2013;3.57;0.00;10.87;1.57;0.96;109.04;9.57;20.53;51.70;
17/09/2013;3.12;0.00;10.90;1.14;0.84;85.36;9.68;18.50;56.91;
18/09/2013;3.34;0.00;9.94;1.63;1.15;120.1;9.00;18.74;57.10;
19/09/2013;3.91;0.00;10.91;2.26;1.21;149.99;9.21;20.34;49.93;
20/09/2013;3.01;0.00;10.68;1.14;0.91;88.65;9.02;19.35;59.44;
21/09/2013;3.15;0.00;10.32;1.25;1.02;98.06;8.72;20.73;58.43;
22/09/2013;3.58;0.00;0.00;1.25;1.02;107.14;8.67;22.03;46.13;
23/09/2013;3.70;0.00;10.60;1.72;1.07;120.61;8.32;23.14;41.38;
24/09/2013;3.07;0.00;9.74;2.09;0.78;123.72;7.47;21.27;56.15;
25/09/2013;3.36;0.00;10.09;2.53;0.94;149.9;7.49;21.09;55.05;
26/09/2013;3.80;0.00;10.08;3.18;1.10;184.9;7.54;20.96;49.74;
27/09/2013;1.24;8.21;6.33;2.93;1.68;199.07;3.67;15.51;86.43;
28/09/2013;1.84;1.06;7.21;3.42;2.84;270.6;4.80;14.83;83.90;
29/09/2013;2.36;0.00;9.20;2.52;2.31;208.66;5.85;16.35;74.31;
30/09/2013;2.17;10.76;8.67;2.05;1.21;140.66;6.34;17.80;77.27;
01/10/2013;1.42;2.05;6.65;4.28;2.23;281.15;4.54;16.73;90.15;
02/10/2013;1.70;4.67;9.06;2.25;1.52;162.78;5.33;16.56;84.40;
03/10/2013;2.27;1.23;7.77;4.06;1.57;242.96;5.74;16.32;74.46;
04/10/2013;1.99;0.00;9.11;1.37;0.97;101.09;6.18;15.23;72.15;
05/10/2013;2.26;0.00;9.99;0.91;1.21;91.58;6.82;15.61;63.44;
06/10/2013;1.95;0.00;10.00;0.81;0.82;70.5;6.36;15.00;69.50;
07/10/2013;2.05;0.00;10.00;0.89;0.77;71.8;6.75;14.96;69.03;
08/10/2013;2.10;0.00;9.90;0.99;0.80;80.52;6.59;15.74;65.22;
09/10/2013;1.87;0.00;9.11;0.92;0.61;66.36;5.79;13.77;71.73;
10/10/2013;1.87;0.00;9.63;0.94;0.63;67.56;6.23;14.31;69.53;
11/10/2013;1.34;0.00;6.78;1.22;0.82;87.96;4.33;11.25;72.90;
12/10/2013;1.63;0.00;9.22;1.26;0.86;91.58;5.47;11.32;69.71;
13/10/2013;1.79;0.67;7.22;1.79;0.85;113.88;5.31;13.07;73.25;
14/10/2013;0.92;0.33;6.80;1.15;0.65;78.11;3.50;12.08;91.61;
15/10/2013;0.87;0.00;2.44;1.59;1.54;135.3;2.70;15.00;89.30;
16/10/2013;1.42;0.00;8.62;1.84;0.98;121.74;4.31;16.38;80.63;
17/10/2013;1.02;0.00;5.60;0.92;1.03;84.07;3.23;15.47;89.97;
18/10/2013;1.91;0.00;8.37;2.68;1.08;162.43;4.71;16.10;73.15;
19/10/2013;2.06;1.18;8.00;4.62;3.06;331.52;4.52;14.23;71.18;
20/10/2013;1.72;0.00;8.08;3.92;2.03;257.13;4.39;13.66;77.34;
21/10/2013;1.42;0.00;3.51;3.81;2.87;288.49;2.94;13.75;83.48;
22/10/2013;1.31;12.48;5.13;4.44;4.59;390.01;3.19;12.56;87.10;
23/10/2013;1.86;2.62;8.46;3.29;2.66;256.87;4.40;13.77;74.92;
24/10/2013;0.82;11.08;0.00;4.47;2.87;317.26;2.43;13.33;94.07;
25/10/2013;0.95;0.00;6.38;2.65;1.64;185.5;3.03;12.27;90.92;
26/10/2013;1.41;0.00;7.62;2.66;1.05;160.53;3.79;12.06;78.81;
27/10/2013;0.98;0.00;8.44;1.59;1.18;119.66;3.62;10.60;86.80;
28/10/2013;1.18;0.00;5.13;3.00;2.42;234.14;2.88;10.34;79.85;
29/10/2013;1.40;0.00;8.11;2.44;1.47;168.57;3.48;8.24;69.55;
30/10/2013;1.13;0.00;8.76;0.69;1.02;73.61;3.20;8.47;59.59;
31/10/2013;1.25;0.00;8.85;1.20;0.78;85.36;3.17;10.19;63.72;
01/11/2013;0.69;0.00;6.13;1.14;1.32;106.1;2.64;9.48;89.34;
02/11/2013;1.29;3.98;5.15;3.18;2.12;228.79;3.10;13.47;88.55;
03/11/2013;1.55;0.00;8.42;3.43;3.31;291.;3.12;9.81;69.97;
04/11/2013;1.33;0.33;7.33;6.06;4.00;434.33;3.09;12.66;84.86;
05/11/2013;1.62;0.00;8.03;5.65;3.38;390.27;3.28;14.94;78.60;
06/11/2013;0.65;0.00;5.19;1.47;0.65;91.58;2.53;11.57;95.24;
07/11/2013;1.10;0.00;7.97;1.76;1.24;129.86;2.82;11.90;77.50;
08/11/2013;1.45;0.00;7.85;5.10;3.09;353.98;2.53;9.54;69.92;
09/11/2013;0.79;0.00;5.15;2.23;1.22;149.04;2.40;7.73;82.19;
10/11/2013;1.44;0.00;7.55;4.34;1.89;269.31;2.50;11.44;73.57;
11/11/2013;1.34;0.00;8.35;0.86;1.48;100.92;2.06;11.85;66.97;
12/11/2013;0.83;0.00;8.20;1.04;0.86;81.91;2.33;9.77;80.02;
13/11/2013;1.53;0.00;8.26;3.83;1.45;228.44;2.06;11.86;65.85;
14/11/2013;1.30;0.00;8.26;1.38;1.79;136.77;1.64;9.01;59.59;
15/11/2013;1.52;0.00;7.26;5.11;1.87;301.8;1.85;6.55;64.21;
16/11/2013;1.19;0.00;6.39;3.24;2.35;241.4;1.95;5.73;63.79;
17/11/2013;1.07;0.00;5.58;4.12;1.78;255.23;2.04;7.04;70.21;
18/11/2013;1.22;0.00;7.88;3.73;1.97;245.98;1.60;7.01;69.96;
19/11/2013;1.43;0.00;8.01;4.65;2.07;289.96;1.47;6.61;69.80;
20/11/2013;1.03;0.00;7.85;2.95;1.90;209.61;1.41;3.83;67.05;
21/11/2013;0.95;0.00;7.77;5.96;2.73;375.15;1.54;5.22;76.40;
22/11/2013;1.06;0.00;8.04;2.86;1.27;178.42;1.12;4.76;68.01;
23/11/2013;0.93;0.00;7.94;2.40;1.06;149.47;1.08;4.19;65.61;
24/11/2013;1.15;0.00;7.93;3.49;0.96;192.15;0.97;5.58;61.20;
25/11/2013;1.09;0.00;7.91;2.68;1.17;166.49;0.83;6.06;59.54;
26/11/2013;0.65;0.00;7.80;1.25;0.91;93.57;0.92;3.23;68.95;
27/11/2013;0.63;0.00;7.70;1.26;0.89;92.79;0.94;2.42;67.28;
28/11/2013;0.65;0.00;7.55;1.58;1.19;119.84;0.86;1.45;67.51;
29/11/2013;0.73;0.00;7.77;1.16;1.03;94.78;0.66;4.50;60.37;
30/11/2013;0.89;0.00;6.70;3.24;1.33;197.42;1.33;4.30;75.93;
01/12/2013;1.19;0.00;7.74;2.62;1.23;166.41;0.33;4.50;57.78;
02/12/2013;0.65;0.00;7.52;1.04;1.13;93.74;0.52;2.41;63.25;
03/12/2013;0.78;0.00;7.50;0.91;1.24;92.62;0.32;4.24;62.80;
04/12/2013;0.78;0.00;7.63;0.81;1.19;86.14;0.40;6.97;61.63;
05/12/2013;0.31;0.00;2.66;0.90;1.07;85.28;1.88;0.49;98.08;
06/12/2013;0.34;0.00;4.06;1.14;1.18;100.4;1.72;0.71;97.44;
07/12/2013;0.80;0.00;7.78;1.16;1.83;129.43;0.31;3.37;65.30;
08/12/2013;0.45;0.00;7.36;0.78;0.82;69.21;0.51;1.89;72.43;
09/12/2013;0.52;0.00;7.29;0.68;0.89;67.82;0.31;2.51;67.31;
10/12/2013;0.61;0.00;7.10;0.70;1.13;78.71;0.29;2.15;67.53;
11/12/2013;0.89;0.00;6.85;1.43;1.26;116.04;0.14;4.30;58.16;
12/12/2013;0.49;0.00;6.21;0.69;0.79;63.68;1.22;4.29;69.79;
13/12/2013;0.65;0.00;3.54;1.03;0.91;83.89;1.51;6.26;79.30;
14/12/2013;0.68;0.00;7.40;1.07;1.24;99.88;0.20;4.17;66.37;
15/12/2013;0.31;0.00;7.32;0.80;0.49;55.64;0.48;2.27;77.61;
16/12/2013;0.47;0.00;7.21;1.31;0.63;84.07;0.45;3.36;76.59;
17/12/2013;0.40;0.00;1.25;0.98;0.94;82.86;1.89;1.92;91.17;
18/12/2013;0.33;0.33;0.23;1.34;1.41;118.71;1.94;3.56;98.96;
19/12/2013;0.69;0.00;6.05;3.80;2.34;265.08;1.23;4.39;86.87;
20/12/2013;0.74;0.00;7.40;1.73;1.95;158.98;0.28;3.51;70.52;
21/12/2013;0.36;0.00;7.29;0.72;0.83;66.79;1.09;0.29;85.37;
22/12/2013;0.30;0.00;2.20;0.81;0.74;66.79;1.73;1.13;97.40;
23/12/2013;0.53;0.00;3.48;3.76;3.09;296.09;1.60;5.33;93.18;
24/12/2013;0.77;21.04;0.00;5.88;4.37;442.97;2.14;7.53;89.77;
25/12/2013;0.61;0.00;5.63;4.21;2.71;298.86;1.37;2.32;86.89;
26/12/2013;0.62;0.00;5.55;2.81;2.30;220.92;1.21;3.94;81.20;
27/12/2013;0.94;0.00;6.06;5.22;2.89;350.61;1.32;10.04;83.14;
28/12/2013;0.75;0.00;6.99;4.29;2.41;289.18;0.48;3.05;76.91;
29/12/2013;0.53;0.00;7.08;1.88;1.59;150.08;0.97;2.78;77.20;
30/12/2013;0.32;0.00;0.00;1.52;1.23;119.06;2.05;0.84;98.70;
31/12/2013;0.55;0.00;4.52;3.85;2.60;278.47;1.47;5.92;92.33;
01/01/2014;0.70;0.00;2.64;6.00;3.46;409.02;1.89;7.34;89.22;
02/01/2014;0.54;0.00;2.06;1.90;1.05;127.27;1.88;7.55;93.00;
03/01/2014;0.73;0.00;5.56;1.85;2.12;171.59;1.60;8.56;76.88;
04/01/2014;0.90;7.66;4.12;5.41;4.46;426.12;1.60;2.47;86.94;
05/01/2014;0.51;0.00;3.65;1.45;3.03;193.54;1.78;4.34;93.59;
06/01/2014;0.54;0.00;0.00;4.07;3.50;326.85;2.03;7.85;94.33;
07/01/2014;0.53;2.64;2.44;3.51;3.61;307.24;1.94;8.20;94.22;
08/01/2014;0.78;0.00;6.18;2.36;1.65;173.4;1.48;8.54;84.37;
09/01/2014;0.88;0.00;6.52;1.79;1.45;139.97;1.45;7.57;75.53;
10/01/2014;0.64;0.00;7.34;1.35;0.90;97.46;0.95;7.70;75.89;
11/01/2014;0.50;0.00;7.31;1.03;0.90;83.29;1.18;6.07;80.00;
12/01/2014;0.39;0.00;0.38;2.11;0.69;121.05;2.05;4.86;99.30;
13/01/2014;0.71;0.00;6.37;2.57;1.94;194.75;1.53;3.60;83.43;
14/01/2014;0.91;0.00;7.07;4.21;1.19;233.11;1.67;8.16;83.51;
15/01/2014;0.60;2.25;2.10;3.39;2.81;267.93;2.02;6.37;92.31;
16/01/2014;0.88;0.00;7.56;4.85;2.46;315.79;1.54;4.47;82.00;
17/01/2014;0.49;0.00;1.18;3.65;3.12;292.46;2.09;3.30;92.53;
18/01/2014;0.72;0.00;5.20;2.37;1.72;177.12;1.86;3.40;84.14;
19/01/2014;0.94;0.17;7.42;5.03;2.71;334.45;1.62;3.02;79.28;
20/01/2014;0.85;0.00;6.92;4.65;3.43;348.8;1.81;3.62;78.74;
21/01/2014;0.43;3.71;3.98;1.57;0.97;109.81;2.12;2.82;93.00;
22/01/2014;1.05;0.00;7.17;4.46;1.74;267.84;1.75;5.47;73.33;
23/01/2014;0.96;0.00;7.77;3.27;2.17;235.09;1.89;5.79;76.66;
24/01/2014;1.05;0.00;6.19;5.83;3.92;421.2;2.06;6.53;81.22;
25/01/2014;1.24;0.00;8.00;4.95;3.82;378.95;2.20;10.42;78.06;
26/01/2014;0.84;0.00;6.57;3.27;2.50;249.52;2.26;8.68;83.85;
27/01/2014;1.29;0.00;8.06;6.17;5.06;484.96;2.15;3.61;75.53;
28/01/2014;0.98;0.00;6.08;5.42;3.18;371.61;2.30;3.90;83.15;
29/01/2014;1.00;0.00;8.21;4.59;1.97;283.39;2.29;3.36;77.38;
30/01/2014;0.99;0.00;7.59;5.27;3.43;375.84;2.43;3.76;77.89;
31/01/2014;0.94;0.00;6.71;2.80;3.37;266.54;2.49;7.42;82.28;
01/02/2014;1.28;0.00;7.83;5.96;3.65;415.41;2.52;2.64;73.55;
02/02/2014;0.88;0.00;7.42;2.05;1.69;161.65;2.55;3.57;74.30;
03/02/2014;1.00;0.34;7.93;4.57;2.54;307.07;2.70;2.30;82.55;
04/02/2014;0.70;6.32;0.00;4.97;3.06;346.9;2.35;3.20;93.66;
05/02/2014;1.10;0.00;8.03;3.52;2.96;279.59;2.78;4.47;75.83;
06/02/2014;1.28;2.64;2.31;7.72;3.42;481.51;2.53;8.32;84.22;
07/02/2014;0.93;0.00;7.64;5.70;3.82;411.;2.86;4.18;84.47;
08/02/2014;1.46;0.00;8.17;5.99;3.75;420.94;3.03;4.45;74.19;
09/02/2014;0.60;0.00;0.96;4.00;2.62;285.72;2.47;1.06;97.07;
10/02/2014;1.08;0.00;8.77;6.24;4.71;473.3;3.62;1.79;76.62;
11/02/2014;0.65;0.00;6.47;3.24;2.39;243.48;2.81;2.94;91.55;
12/02/2014;0.41;0.00;2.03;1.54;1.21;118.97;2.60;0.60;99.06;
13/02/2014;1.64;0.00;8.12;4.82;2.61;320.89;3.82;9.68;70.02;
14/02/2014;1.47;0.00;4.45;6.34;5.04;491.27;3.01;9.72;82.79;
15/02/2014;1.02;0.00;8.59;2.87;1.30;180.06;3.40;4.44;75.88;
16/02/2014;1.37;0.00;9.08;3.08;2.09;223.17;4.21;4.09;70.71;
17/02/2014;0.99;0.00;7.32;2.69;2.30;215.65;3.48;3.35;80.71;
18/02/2014;1.32;0.00;9.03;3.50;1.48;215.4;4.61;5.61;75.50;
19/02/2014;1.63;0.00;9.24;2.59;1.19;163.21;4.75;9.09;70.16;
20/02/2014;1.28;0.00;6.07;4.08;2.01;263.17;3.68;8.04;84.65;
21/02/2014;1.44;0.00;8.65;4.00;2.03;260.58;4.69;4.20;65.26;
22/02/2014;1.34;0.00;8.52;2.30;1.15;148.87;4.57;6.48;73.58;
23/02/2014;1.60;0.00;8.30;3.06;1.59;200.88;4.61;7.53;69.94;
24/02/2014;0.92;0.00;4.42;1.96;1.51;150.08;3.30;5.52;83.47;
25/02/2014;1.65;0.33;7.81;5.84;2.71;369.19;4.56;4.72;80.62;
26/02/2014;1.32;0.00;8.75;4.27;2.69;300.76;5.20;3.83;73.53;
27/02/2014;2.02;0.00;8.09;4.00;1.73;247.8;5.15;9.58;70.10;
28/02/2014;1.95;0.00;8.18;8.43;6.10;628.13;4.86;6.26;75.79;
01/03/2014;1.06;0.00;6.51;3.63;3.69;316.14;3.63;7.62;87.83;
02/03/2014;1.41;0.00;6.91;4.03;4.54;370.4;3.61;9.99;80.88;
03/03/2014;1.60;0.00;9.25;7.24;6.18;579.48;5.82;4.21;78.04;
04/03/2014;1.31;0.00;8.01;4.78;4.86;416.36;4.36;5.98;76.31;
05/03/2014;3.02;0.00;10.02;3.68;3.34;303.52;6.60;11.98;58.85;
06/03/2014;2.33;0.00;8.88;1.31;1.11;104.72;5.69;11.04;62.18;
07/03/2014;2.51;0.00;10.09;1.38;1.44;121.91;6.68;13.81;48.13;
08/03/2014;2.59;0.00;10.13;1.46;1.46;126.06;6.89;13.76;49.59;
09/03/2014;2.61;0.00;10.12;2.10;1.54;157.42;6.56;12.38;41.13;
10/03/2014;2.70;0.00;10.23;1.50;1.16;114.83;6.89;14.00;40.84;
11/03/2014;2.65;0.00;10.25;1.61;1.19;121.05;7.08;12.76;41.31;
12/03/2014;2.58;0.00;10.08;1.93;1.31;140.23;7.19;12.01;47.76;
13/03/2014;2.53;0.00;10.23;2.51;1.31;165.02;7.59;10.77;48.51;
14/03/2014;2.40;0.00;10.19;1.04;1.29;100.66;7.50;11.98;48.73;
15/03/2014;2.89;0.00;10.38;1.36;1.56;126.14;7.65;14.07;38.87;
16/03/2014;3.47;0.00;10.51;2.15;1.78;169.6;7.79;16.05;32.47;
17/03/2014;3.18;0.00;10.54;1.52;1.77;142.04;8.01;16.13;37.72;
18/03/2014;3.13;0.00;10.31;2.03;1.84;166.84;8.11;15.34;48.40;
19/03/2014;2.48;0.00;10.36;1.33;1.04;102.47;8.49;11.89;57.73;
20/03/2014;2.73;0.00;9.88;1.73;1.41;135.56;7.25;14.82;51.03;
21/03/2014;2.41;0.00;8.31;3.85;1.79;243.73;7.17;11.91;70.39;
22/03/2014;2.54;0.00;10.60;6.21;3.52;420.34;8.42;6.65;59.60;
23/03/2014;2.44;0.00;10.88;3.31;2.44;248.4;8.77;6.59;53.73;
24/03/2014;1.98;0.00;9.27;4.13;2.81;299.89;6.03;6.83;74.32;
25/03/2014;1.80;0.00;9.19;7.62;4.73;533.43;5.64;5.11;73.65;
26/03/2014;2.47;0.00;10.80;6.11;4.47;457.4;9.90;6.92;62.77;
27/03/2014;2.24;0.00;9.86;2.16;1.19;144.55;8.07;6.13;54.75;
28/03/2014;1.77;0.00;7.87;3.44;1.27;203.73;5.51;7.89;62.41;
29/03/2014;0.67;12.09;1.24;2.02;1.87;167.88;3.17;4.89;91.71;
30/03/2014;2.38;0.00;9.88;4.33;2.38;290.04;8.46;8.82;69.42;
31/03/2014;1.46;9.27;8.55;3.46;3.59;304.39;5.15;9.11;86.68;
01/04/2014;1.20;6.29;4.68;4.81;4.26;388.89;4.06;8.86;88.32;
02/04/2014;1.48;2.62;9.12;3.02;2.55;242.01;6.43;8.31;84.84;
03/04/2014;3.49;1.68;11.26;4.84;2.17;297.65;11.04;9.89;67.94;
04/04/2014;1.27;0.50;9.60;1.68;1.18;126.66;5.56;6.98;83.94;
05/04/2014;2.35;0.00;9.24;2.25;0.66;122.17;8.69;13.52;79.98;
06/04/2014;2.96;0.00;11.18;3.12;1.12;182.3;10.33;14.79;73.75;
07/04/2014;3.65;0.00;10.47;4.47;2.33;292.03;9.89;15.60;61.34;
08/04/2014;3.11;0.00;10.58;1.86;1.69;154.22;10.44;14.36;63.91;
09/04/2014;3.60;0.00;10.15;1.51;1.30;126.49;10.89;17.38;52.26;
10/04/2014;4.19;1.35;10.47;2.50;2.55;217.12;10.05;19.44;49.86;
11/04/2014;3.27;0.00;11.39;2.59;1.45;173.15;10.97;16.18;61.62;
12/04/2014;3.55;0.00;11.64;2.04;1.17;138.41;12.37;15.67;53.99;
13/04/2014;3.79;0.00;11.79;1.32;1.14;106.7;12.04;17.68;52.33;
14/04/2014;3.72;0.00;11.10;1.59;1.34;125.63;11.48;18.01;50.36;
15/04/2014;3.75;0.00;10.65;1.66;1.18;121.56;11.24;18.89;51.75;
16/04/2014;4.35;2.32;11.20;1.65;1.97;158.72;12.16;20.33;49.63;
17/04/2014;3.88;0.00;11.61;0.95;1.25;96.68;11.22;20.87;48.48;
18/04/2014;4.20;0.00;11.58;1.79;1.35;135.99;11.30;20.73;38.09;
19/04/2014;3.60;4.01;8.78;2.06;2.52;199.24;8.77;16.73;54.27;
20/04/2014;3.08;5.17;10.16;3.30;3.50;290.22;10.76;11.18;67.76;
21/04/2014;3.30;0.00;11.57;2.55;2.16;203.9;11.79;12.56;58.86;
22/04/2014;2.90;0.00;11.32;3.06;2.15;227.4;10.00;11.92;58.60;
23/04/2014;3.52;0.00;10.82;2.60;1.85;194.57;12.23;12.80;60.28;
24/04/2014;3.21;0.00;10.58;4.24;2.35;278.81;10.13;9.91;61.84;
25/04/2014;2.76;0.00;9.79;3.19;2.59;251.16;10.17;9.31;66.64;
26/04/2014;3.47;0.00;10.10;5.37;3.35;373.68;10.54;12.94;65.49;
27/04/2014;3.63;0.00;12.12;5.73;2.68;361.32;13.47;11.59;56.23;
28/04/2014;4.07;0.00;12.04;5.51;3.23;375.75;12.99;15.20;56.36;
29/04/2014;4.06;0.00;11.58;4.89;3.35;355.36;13.34;15.40;60.32;
30/04/2014;4.22;0.00;12.55;3.19;2.53;247.54;12.93;16.49;51.49;
01/05/2014;4.76;0.00;12.42;2.90;1.91;209.78;14.30;17.42;47.34;
02/05/2014;4.42;0.00;12.58;3.34;1.30;196.65;14.50;15.65;41.85;
03/05/2014;4.19;0.00;12.49;1.57;1.07;113.62;14.36;15.66;42.01;
04/05/2014;4.41;0.00;12.54;1.51;0.79;98.84;13.90;17.68;40.62;
05/05/2014;5.01;0.00;12.16;2.74;1.33;173.06;12.82;21.07;34.37;
06/05/2014;3.74;0.00;10.57;1.78;1.56;143.6;9.33;18.94;44.13;
07/05/2014;5.29;0.00;12.59;1.21;2.06;144.98;14.66;21.03;40.26;
08/05/2014;5.27;0.00;12.75;2.40;1.48;170.81;14.01;21.71;40.26;
09/05/2014;5.15;0.00;12.87;1.81;1.45;142.21;14.76;22.10;41.63;
10/05/2014;5.81;0.00;12.79;5.05;2.03;302.49;14.83;21.48;40.98;
11/05/2014;5.45;0.00;12.37;3.36;2.41;253.84;13.22;17.27;35.20;
12/05/2014;4.28;0.00;11.84;2.38;1.52;166.92;13.24;15.31;49.21;
13/05/2014;4.43;0.00;12.87;2.12;1.80;174.53;15.47;14.21;39.92;
14/05/2014;5.11;0.00;12.71;2.92;1.23;181.35;15.08;16.69;28.17;
15/05/2014;5.65;0.00;12.99;3.83;1.35;223.69;14.94;18.98;27.18;
16/05/2014;6.28;0.00;12.77;4.64;1.31;256.;14.88;20.41;18.72;
17/05/2014;5.58;0.00;13.10;2.76;1.24;175.39;15.40;19.05;23.57;
18/05/2014;5.58;0.00;12.87;2.35;1.47;164.42;15.27;20.33;31.17;
19/05/2014;4.05;0.00;10.34;5.37;1.41;288.06;12.36;13.64;49.14;
20/05/2014;2.90;0.00;10.78;3.96;1.40;230.86;11.06;9.83;65.24;
21/05/2014;2.64;5.46;9.05;5.58;3.78;396.75;9.57;8.44;79.14;
22/05/2014;3.99;0.00;10.06;5.26;4.28;411.61;10.85;11.75;60.14;
23/05/2014;3.66;0.00;13.22;5.67;3.58;398.91;14.62;10.55;59.71;
24/05/2014;3.88;0.00;11.73;1.77;2.17;175.91;14.19;12.33;44.47;
25/05/2014;3.77;0.00;12.22;2.63;1.76;191.55;13.03;12.31;44.51;
26/05/2014;4.21;0.00;12.98;2.72;1.80;196.99;15.27;13.72;47.55;
27/05/2014;3.47;0.00;11.07;1.98;0.75;121.13;12.45;14.41;54.68;
28/05/2014;4.05;0.00;12.29;4.77;1.44;269.57;13.94;14.56;61.53;
29/05/2014;2.86;0.00;12.43;2.47;1.27;163.3;10.03;14.31;66.78;
30/05/2014;4.15;0.00;13.23;2.53;1.68;183.6;15.14;15.02;50.19;
31/05/2014;3.99;0.00;12.92;2.66;1.33;176.17;14.36;14.92;52.09;
01/06/2014;4.88;0.00;12.98;1.73;1.69;149.47;15.98;18.38;43.11;
02/06/2014;5.00;0.00;13.30;1.75;1.00;121.05;15.78;19.49;41.99;
03/06/2014;6.46;0.00;13.24;3.32;2.54;253.76;16.30;20.98;42.43;
04/06/2014;5.40;0.00;13.37;2.37;3.18;244.51;15.85;17.13;43.13;
05/06/2014;5.49;0.00;13.05;2.87;1.15;174.79;16.37;18.65;40.81;
06/06/2014;6.00;0.68;12.12;6.40;1.99;355.45;14.12;19.65;39.43;
07/06/2014;4.58;0.00;12.20;4.95;2.01;301.36;14.52;15.79;50.36;
08/06/2014;4.71;0.00;12.84;3.23;1.23;191.55;14.35;17.93;48.65;
09/06/2014;4.28;0.00;12.89;3.82;1.18;214.27;13.16;17.40;50.67;
10/06/2014;4.69;0.00;13.45;1.38;1.22;113.36;14.94;18.71;35.28;
